Source URL: https://raw.githubusercontent.com/liquidslr/interview-company-wise-problems/main/Google/3.%20Six%20Months.csv
Title: 3.%20Six%20Months.csv
Difficulty,Title,Frequency,Acceptance Rate,Link,Topics,Links
MEDIUM,House Robber,49.9,0.00533253012083387,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming","[{""provider"":""leetcode"",""url"":""https://leetcode.com/problems/house-robber""}]"
MEDIUM,4Sum,49.9,0.0040905241256708694,https://leetcode.com/problems/4sum,"Array, Two Pointers, Sorting","[{""provider"":""leetcode"",""url"":""https://leetcode.com/problems/4sum""}]"
MEDIUM,Longest Repeating Character Replacement,49.9,0.005992791974457368,https://leetcode.com/problems/longest-repeating-character-replacement,"Hash Table, String, Sliding Window","[{""provider"":""leetcode"",""url"":""https://leetcode.com/problems/longest-repeating-character-replacement""}]"
MEDIUM,Rotate Image,49.0,0.008027350598876217,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix","[{""provider"":""leetcode"",""url"":""https://leetcode.com/problems/rotate-image""}]"
MEDIUM,Generate Parentheses,49.0,0.007881144468112233,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking","[{""provider"":""leetcode"",""url"":""https://leetcode.com/problems/generate-parentheses""}]"
MEDIUM,Permutations,49.0,0.00820508355776795,https://leetcode.com/problems/permutations,"Array, Backtracking","[{""provider"":""leetcode"",""url"":""https://leetcode.com/problems/permutations""}]"
MEDIUM,Jump Game,49.0,0.004106514885216719,https://leetcode.com/problems/jump-game,"Array, Dynamic Programming, Greedy","[{""provider"":""leetcode"",""url"":""https://leetcode.com/problems/jump-game""}]"
MEDIUM,Sort Colors,49.0,0.006987529856330535,https://leetcode.com/problems/sort-colors,"Array, Two Pointers, Sorting","[{""provider"":""leetcode"",""url"":""https://leetcode.com/problems/sort-colors""}]"
MEDIUM,Rotate Array,49.0,0.004510328902147407,https://leetcode.com/problems/rotate-array,"Array, Math, Two Pointers","[{""provider"":""leetcode"",""url"":""https://leetcode.com/problems/rotate-array""}]"
MEDIUM,Product of Array Except Self,49.0,0.0069001473000757365,https://leetcode.com/problems/product-of-array-except-self,"Array, Prefix Sum","[{""provider"":""leetcode"",""url"":""https://leetcode.com/problems/product-of-array-except-self""}]"
MEDIUM,Two Sum II - Input Array Is Sorted,49.0,0.0065296259726191595,https://leetcode.com/problems/two-sum-ii-input-array-is-sorted,"Array, Two Pointers, Binary Search","[{""provider"":""leetcode"",""url"":""https://leetcode.com/problems/two-sum-ii-input-array-is-sorted""}]"
MEDIUM,Decode String,48.2,0.006278195834936435,https://leetcode.com/problems/decode-string,"String, Stack, Recursion","[{""provider"":""leetcode"",""url"":""https://leetcode.com/problems/decode-string""}]"
MEDIUM,Longest Increasing Subsequence,47.3,0.0059574459582230265,https://leetcode.com/problems/longest-increasing-subsequence,"Array, Binary Search, Dynamic Programming","[{""provider"":""leetcode"",""url"":""https://leetcode.com/problems/longest-increasing-subsequence""}]"
MEDIUM,Letter Combinations of a Phone Number,47.3,0.006627781948066577,https://leetcode.com/problems/letter-combinations-of-a-phone-number,"Hash Table, String, Backtracking","[{""provider"":""leetcode"",""url"":""https://leetcode.com/problems/letter-combinations-of-a-phone-number""}]"
HARD,Split Array Largest Sum,47.3,0.006072016265276123,https://leetcode.com/problems/split-array-largest-sum,"Array, Binary Search, Dynamic Programming, Greedy, Prefix Sum","[{""provider"":""leetcode"",""url"":""https://leetcode.com/problems/split-array-largest-sum""}]"
HARD,Largest Rectangle in Histogram,46.3,0.005018771542638927,https://leetcode.com/problems/largest-rectangle-in-histogram,"Array, Stack, Monotonic Stack","[{""provider"":""leetcode"",""url"":""https://leetcode.com/problems/largest-rectangle-in-histogram""}]"
MEDIUM,Meeting Rooms II,46.3,0.0052723015168995736,https://leetcode.com/problems/meeting-rooms-ii,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum","[{""provider"":""leetcode"",""url"":""https://leetcode.com/problems/meeting-rooms-ii""}]"
HARD,Regular Expression Matching,45.3,0.003112612659943627,https://leetcode.com/problems/regular-expression-matching,"String, Dynamic Programming, Recursion","[{""provider"":""leetcode"",""url"":""https://leetcode.com/problems/regular-expression-matching""}]"
MEDIUM,Subsets,45.3,0.008247547552426068,https://leetcode.com/problems/subsets,"Array, Backtracking, Bit Manipulation","[{""provider"":""leetcode"",""url"":""https://leetcode.com/problems/subsets""}]"
MEDIUM,Course Schedule,45.3,0.005164931577284526,https://leetcode.com/problems/course-schedule,"Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort","[{""provider"":""leetcode"",""url"":""https://leetcode.com/problems/course-schedule""}]"
MEDIUM,Single Element in a Sorted Array,45.3,0.005930894018168744,https://leetcode.com/problems/single-element-in-a-sorted-array,"Array, Binary Search","[{""provider"":""leetcode"",""url"":""https://leetcode.com/problems/single-element-in-a-sorted-array""}]"
HARD,Number of Visible People in a Queue,45.3,0.007325146154223353,https://leetcode.com/problems/number-of-visible-people-in-a-queue,"Array, Stack, Monotonic Stack","[{""provider"":""leetcode"",""url"":""https://leetcode.com/problems/number-of-visible-people-in-a-queue""}]"
MEDIUM,3Sum Closest,44.2,0.004875663618412125,https://leetcode.com/problems/3sum-closest,"Array, Two Pointers, Sorting","[{""provider"":""leetcode"",""url"":""https://leetcode.com/problems/3sum-closest""}]"
MEDIUM,Find First and Last Position of Element in Sorted Array,44.2,0.004912156631020668,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,"Array, Binary Search","[{""provider"":""leetcode"",""url"":""https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array""}]"
HARD,Maximal Rectangle,44.2,0.005907188360844662,https://leetcode.com/problems/maximal-rectangle,"Array, Dynamic Programming, Stack, Matrix, Monotonic Stack","[{""provider"":""leetcode"",""url"":""https://leetcode.com/problems/maximal-rectangle""}]"
MEDIUM,Find Peak Element,44.2,0.004703008718020711,https://leetcode.com/problems/find-peak-element,"Array, Binary Search","[{""provider"":""leetcode"",""url"":""https://leetcode.com/problems/find-peak-element""}]"
HARD,Sliding Window Maximum,44.2,0.0048890433842093085,https://leetcode.com/problems/sliding-window-maximum,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue","[{""provider"":""leetcode"",""url"":""https://leetcode.com/problems/sliding-window-maximum""}]"
MEDIUM,Min Stack,44.2,0.005831158069237326,https://leetcode.com/problems/min-stack,"Stack, Design","[{""provider"":""leetcode"",""url"":""https://leetcode.com/problems/min-stack""}]"
MEDIUM,Next Greater Element II,44.2,0.0068608295545478796,https://leetcode.com/problems/next-greater-element-ii,"Array, Stack, Monotonic Stack","[{""provider"":""leetcode"",""url"":""https://leetcode.com/problems/next-greater-element-ii""}]"
MEDIUM,String to Integer (atoi),43.0,0.002118413527648971,https://leetcode.com/problems/string-to-integer-atoi,String,"[{""provider"":""leetcode"",""url"":""https://leetcode.com/problems/string-to-integer-atoi""}]"
HARD,First Missing Positive,43.0,0.004311791209880479,https://leetcode.com/problems/first-missing-positive,"Array, Hash Table","[{""provider"":""leetcode"",""url"":""https://leetcode.com/problems/first-missing-positive""}]"
HARD,Russian Doll Envelopes,43.0,0.003797091606661151,https://leetcode.com/problems/russian-doll-envelopes,"Array, Binary Search, Dynamic Programming, Sorting","[{""provider"":""leetcode"",""url"":""https://leetcode.com/problems/russian-doll-envelopes""}]"
MEDIUM,Max Consecutive Ones III,43.0,0.006790666714422803,https://leetcode.com/problems/max-consecutive-ones-iii,"Array, Binary Search, Sliding Window, Prefix Sum","[{""provider"":""leetcode"",""url"":""https://leetcode.com/problems/max-consecutive-ones-iii""}]"
MEDIUM,Combination Sum,41.7,0.007670901120946506,https://leetcode.com/problems/combination-sum,"Array, Backtracking","[{""provider"":""leetcode"",""url"":""https://leetcode.com/problems/combination-sum""}]"
MEDIUM,"Pow(x, n)",41.7,0.0038842139838590893,https://leetcode.com/problems/powx-n,"Math, Recursion","[{""provider"":""leetcode"",""url"":""https://leetcode.com/problems/powx-n""}]"
MEDIUM,Edit Distance,41.7,0.006080719544308042,https://leetcode.com/problems/edit-distance,"String, Dynamic Programming","[{""provider"":""leetcode"",""url"":""https://leetcode.com/problems/edit-distance""}]"
MEDIUM,Search a 2D Matrix,41.7,0.005416869144558269,https://leetcode.com/problems/search-a-2d-matrix,"Array, Binary Search, Matrix","[{""provider"":""leetcode"",""url"":""https://leetcode.com/problems/search-a-2d-matrix""}]"
MEDIUM,Maximum Product Subarray,41.7,0.003657031630102087,https://leetcode.com/problems/maximum-product-subarray,"Array, Dynamic Programming","[{""provider"":""leetcode"",""url"":""https://leetcode.com/problems/maximum-product-subarray""}]"
MEDIUM,Coin Change,41.7,0.0048630532109969725,https://leetcode.com/problems/coin-change,"Array, Dynamic Programming, Breadth-First Search","[{""provider"":""leetcode"",""url"":""https://leetcode.com/problems/coin-change""}]"
MEDIUM,Daily Temperatures,41.7,0.006882756797542333,https://leetcode.com/problems/daily-temperatures,"Array, Stack, Monotonic Stack","[{""provider"":""leetcode"",""url"":""https://leetcode.com/problems/daily-temperatures""}]"
MEDIUM,Sort an Array,41.7,0.0055931038570919776,https://leetcode.com/problems/sort-an-array,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Merge Sort, Bucket Sort, Radix Sort, Counting Sort","[{""provider"":""leetcode"",""url"":""https://leetcode.com/problems/sort-an-array""}]"
MEDIUM,Binary Tree Level Order Traversal,41.7,0.0072903113966238785,https://leetcode.com/problems/binary-tree-level-order-traversal,"Tree, Breadth-First Search, Binary Tree","[{""provider"":""leetcode"",""url"":""https://leetcode.com/problems/binary-tree-level-order-traversal""}]"
MEDIUM,Fruit Into Baskets,40.4,0.005149137718198819,https://leetcode.com/problems/fruit-into-baskets,"Array, Hash Table, Sliding Window","[{""provider"":""leetcode"",""url"":""https://leetcode.com/problems/fruit-into-baskets""}]"
HARD,Reverse Nodes in k-Group,40.4,0.006642191087617081,https://leetcode.com/problems/reverse-nodes-in-k-group,"Linked List, Recursion","[{""provider"":""leetcode"",""url"":""https://leetcode.com/problems/reverse-nodes-in-k-group""}]"
MEDIUM,Reverse Words in a String,40.4,0.005681675553915784,https://leetcode.com/problems/reverse-words-in-a-string,"Two Pointers, String","[{""provider"":""leetcode"",""url"":""https://leetcode.com/problems/reverse-words-in-a-string""}]"
MEDIUM,Swap Adjacent in LR String,40.4,0.003819973573683349,https://leetcode.com/problems/swap-adjacent-in-lr-string,"Two Pointers, String","[{""provider"":""leetcode"",""url"":""https://leetcode.com/problems/swap-adjacent-in-lr-string""}]"
MEDIUM,Count Primes,40.4,0.0036175850139698296,https://leetcode.com/problems/count-primes,"Array, Math, Enumeration, Number Theory","[{""provider"":""leetcode"",""url"":""https://leetcode.com/problems/count-primes""}]"
HARD,Longest Valid Parentheses,38.9,0.0039027722004394846,https://leetcode.com/problems/longest-valid-parentheses,"String, Dynamic Programming, Stack","[{""provider"":""leetcode"",""url"":""https://leetcode.com/problems/longest-valid-parentheses""}]"
MEDIUM,Subsets II,38.9,0.006149599382818976,https://leetcode.com/problems/subsets-ii,"Array, Backtracking, Bit Manipulation","[{""provider"":""leetcode"",""url"":""https://leetcode.com/problems/subsets-ii""}]"
MEDIUM,Second Highest Salary,38.9,0.004735460576921365,https://leetcode.com/problems/second-highest-salary,Database,"[{""provider"":""leetcode"",""url"":""https://leetcode.com/problems/second-highest-salary""}]"
MEDIUM,Zigzag Conversion,38.9,0.005438139498169691,https://leetcode.com/problems/zigzag-conversion,String,"[{""provider"":""leetcode"",""url"":""https://leetcode.com/problems/zigzag-conversion""}]"
MEDIUM,Remove Nth Node From End of List,38.9,0.005188573100407975,https://leetcode.com/problems/remove-nth-node-from-end-of-list,"Linked List, Two Pointers","[{""provider"":""leetcode"",""url"":""https://leetcode.com/problems/remove-nth-node-from-end-of-list""}]"
MEDIUM,Insert Interval,38.9,0.004541526097385536,https://leetcode.com/problems/insert-interval,Array,"[{""provider"":""leetcode"",""url"":""https://leetcode.com/problems/insert-interval""}]"
MEDIUM,Unique Paths,38.9,0.006695965174698262,https://leetcode.com/problems/unique-paths,"Math, Dynamic Programming, Combinatorics","[{""provider"":""leetcode"",""url"":""https://leetcode.com/problems/unique-paths""}]"
MEDIUM,Rotting Oranges,38.9,0.005886900775571508,https://leetcode.com/problems/rotting-oranges,"Array, Breadth-First Search, Matrix","[{""provider"":""leetcode"",""url"":""https://leetcode.com/problems/rotting-oranges""}]"
MEDIUM,Largest Number,38.9,0.004323274932414328,https://leetcode.com/problems/largest-number,"Array, String, Greedy, Sorting","[{""provider"":""leetcode"",""url"":""https://leetcode.com/problems/largest-number""}]"
MEDIUM,Find the Duplicate Number,37.3,0.006452350720060942,https://leetcode.com/problems/find-the-duplicate-number,"Array, Two Pointers, Binary Search, Bit Manipulation","[{""provider"":""leetcode"",""url"":""https://leetcode.com/problems/find-the-duplicate-number""}]"
MEDIUM,Jump Game II,37.3,0.0043034989281022775,https://leetcode.com/problems/jump-game-ii,"Array, Dynamic Programming, Greedy","[{""provider"":""leetcode"",""url"":""https://leetcode.com/problems/jump-game-ii""}]"
HARD,Basic Calculator,37.3,0.0046965815089286414,https://leetcode.com/problems/basic-calculator,"Math, String, Stack, Recursion","[{""provider"":""leetcode"",""url"":""https://leetcode.com/problems/basic-calculator""}]"
MEDIUM,Frequency of the Most Frequent Element,37.3,0.004494911400083527,https://leetcode.com/problems/frequency-of-the-most-frequent-element,"Array, Binary Search, Greedy, Sliding Window, Sorting, Prefix Sum","[{""provider"":""leetcode"",""url"":""https://leetcode.com/problems/frequency-of-the-most-frequent-element""}]"
MEDIUM,Remove Duplicates from Sorted Array II,37.3,0.006485636700976797,https://leetcode.com/problems/remove-duplicates-from-sorted-array-ii,"Array, Two Pointers","[{""provider"":""leetcode"",""url"":""https://leetcode.com/problems/remove-duplicates-from-sorted-array-ii""}]"
MEDIUM,Network Delay Time,37.3,0.006077032980749058,https://leetcode.com/problems/network-delay-time,"Depth-First Search, Breadth-First Search, Graph Theory, Heap (Priority Queue), Shortest Path","[{""provider"":""leetcode"",""url"":""https://leetcode.com/problems/network-delay-time""}]"
MEDIUM,Surrounded Regions,35.5,0.004560879930886938,https://leetcode.com/problems/surrounded-regions,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix","[{""provider"":""leetcode"",""url"":""https://leetcode.com/problems/surrounded-regions""}]"
MEDIUM,Divide Two Integers,35.5,0.0019937226174309903,https://leetcode.com/problems/divide-two-integers,"Math, Bit Manipulation","[{""provider"":""leetcode"",""url"":""https://leetcode.com/problems/divide-two-integers""}]"
MEDIUM,Set Matrix Zeroes,35.5,0.006317500484451821,https://leetcode.com/problems/set-matrix-zeroes,"Array, Hash Table, Matrix","[{""provider"":""leetcode"",""url"":""https://leetcode.com/problems/set-matrix-zeroes""}]"
MEDIUM,Best Time to Buy and Sell Stock II,35.5,0.0071240027110163985,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii,"Array, Dynamic Programming, Greedy","[{""provider"":""leetcode"",""url"":""https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii""}]"
HARD,Word Ladder,35.5,0.0045844032824442025,https://leetcode.com/problems/word-ladder,"Hash Table, String, Breadth-First Search","[{""provider"":""leetcode"",""url"":""https://leetcode.com/problems/word-ladder""}]"
MEDIUM,Word Break,35.5,0.00495811137955099,https://leetcode.com/problems/word-break,"Array, Hash Table, String, Dynamic Programming, Trie, Memoization","[{""provider"":""leetcode"",""url"":""https://leetcode.com/problems/word-break""}]"
MEDIUM,Minimum Size Subarray Sum,35.5,0.005199888356118415,https://leetcode.com/problems/minimum-size-subarray-sum,"Array, Binary Search, Sliding Window, Prefix Sum","[{""provider"":""leetcode"",""url"":""https://leetcode.com/problems/minimum-size-subarray-sum""}]"
MEDIUM,Maximal Square,35.5,0.005047492406294395,https://leetcode.com/problems/maximal-square,"Array, Dynamic Programming, Matrix","[{""provider"":""leetcode"",""url"":""https://leetcode.com/problems/maximal-square""}]"
MEDIUM,Task Scheduler,35.5,0.006328993399981021,https://leetcode.com/problems/task-scheduler,"Array, Hash Table, Greedy, Sorting, Heap (Priority Queue), Counting","[{""provider"":""leetcode"",""url"":""https://leetcode.com/problems/task-scheduler""}]"
MEDIUM,Count Good Numbers,35.5,0.00577879896580321,https://leetcode.com/problems/count-good-numbers,"Math, Recursion","[{""provider"":""leetcode"",""url"":""https://leetcode.com/problems/count-good-numbers""}]"
MEDIUM,Search a 2D Matrix II,35.5,0.00575019387541252,https://leetcode.com/problems/search-a-2d-matrix-ii,"Array, Binary Search, Divide and Conquer, Matrix","[{""provider"":""leetcode"",""url"":""https://leetcode.com/problems/search-a-2d-matrix-ii""}]"
HARD,Swim in Rising Water,35.5,0.006793519850490124,https://leetcode.com/problems/swim-in-rising-water,"Array, Binary Search, Depth-First Search, Breadth-First Search, Union-Find, Heap (Priority Queue), Matrix","[{""provider"":""leetcode"",""url"":""https://leetcode.com/problems/swim-in-rising-water""}]"
MEDIUM,Champagne Tower,35.5,0.006414155629768815,https://leetcode.com/problems/champagne-tower,Dynamic Programming,"[{""provider"":""leetcode"",""url"":""https://leetcode.com/problems/champagne-tower""}]"
HARD,Binary Tree Maximum Path Sum,33.5,0.004242997314038262,https://leetcode.com/problems/binary-tree-maximum-path-sum,"Dynamic Programming, Tree, Depth-First Search, Binary Tree","[{""provider"":""leetcode"",""url"":""https://leetcode.com/problems/binary-tree-maximum-path-sum""}]"
MEDIUM,Sum of Subarray Minimums,33.5,0.003872964334214615,https://leetcode.com/problems/sum-of-subarray-minimums,"Array, Dynamic Programming, Stack, Monotonic Stack","[{""provider"":""leetcode"",""url"":""https://leetcode.com/problems/sum-of-subarray-minimums""}]"
MEDIUM,Rotate List,33.5,0.004277459671630096,https://leetcode.com/problems/rotate-list,"Linked List, Two Pointers","[{""provider"":""leetcode"",""url"":""https://leetcode.com/problems/rotate-list""}]"
MEDIUM,Swap Nodes in Pairs,33.5,0.006972759025426211,https://leetcode.com/problems/swap-nodes-in-pairs,"Linked List, Recursion","[{""provider"":""leetcode"",""url"":""https://leetcode.com/problems/swap-nodes-in-pairs""}]"
HARD,Minimum Window Substring,33.5,0.004780050662258764,https://leetcode.com/problems/minimum-window-substring,"Hash Table, String, Sliding Window","[{""provider"":""leetcode"",""url"":""https://leetcode.com/problems/minimum-window-substring""}]"
MEDIUM,Palindrome Partitioning,33.5,0.0074213615815397075,https://leetcode.com/problems/palindrome-partitioning,"String, Dynamic Programming, Backtracking","[{""provider"":""leetcode"",""url"":""https://leetcode.com/problems/palindrome-partitioning""}]"
HARD,Find Median from Data Stream,33.5,0.005463248886694082,https://leetcode.com/problems/find-median-from-data-stream,"Two Pointers, Design, Sorting, Heap (Priority Queue), Data Stream","[{""provider"":""leetcode"",""url"":""https://leetcode.com/problems/find-median-from-data-stream""}]"
MEDIUM,Insert Delete GetRandom O(1),33.5,0.005540963928022855,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized","[{""provider"":""leetcode"",""url"":""https://leetcode.com/problems/insert-delete-getrandom-o1""}]"
MEDIUM,Partition Equal Subset Sum,33.5,0.004963690571721732,https://leetcode.com/problems/partition-equal-subset-sum,"Array, Dynamic Programming","[{""provider"":""leetcode"",""url"":""https://leetcode.com/problems/partition-equal-subset-sum""}]"
MEDIUM,Number of Provinces,33.5,0.007058527864767605,https://leetcode.com/problems/number-of-provinces,"Depth-First Search, Breadth-First Search, Union-Find, Graph Theory","[{""provider"":""leetcode"",""url"":""https://leetcode.com/problems/number-of-provinces""}]"
MEDIUM,Cheapest Flights Within K Stops,33.5,0.004204844244149622,https://leetcode.com/problems/cheapest-flights-within-k-stops,"Dynamic Programming, Depth-First Search, Breadth-First Search, Graph Theory, Heap (Priority Queue), Shortest Path","[{""provider"":""leetcode"",""url"":""https://leetcode.com/problems/cheapest-flights-within-k-stops""}]"
MEDIUM,Capacity To Ship Packages Within D Days,33.5,0.007414279797019523,https://leetcode.com/problems/capacity-to-ship-packages-within-d-days,"Array, Binary Search","[{""provider"":""leetcode"",""url"":""https://leetcode.com/problems/capacity-to-ship-packages-within-d-days""}]"
MEDIUM,Rearrange Array Elements by Sign,33.5,0.008470958768325633,https://leetcode.com/problems/rearrange-array-elements-by-sign,"Array, Two Pointers, Simulation","[{""provider"":""leetcode"",""url"":""https://leetcode.com/problems/rearrange-array-elements-by-sign""}]"
MEDIUM,Range Sum Query 2D - Immutable,33.5,0.005848318896760736,https://leetcode.com/problems/range-sum-query-2d-immutable,"Array, Design, Matrix, Prefix Sum","[{""provider"":""leetcode"",""url"":""https://leetcode.com/problems/range-sum-query-2d-immutable""}]"
MEDIUM,Find the Length of the Longest Common Prefix,33.5,0.006227339670638639,https://leetcode.com/problems/find-the-length-of-the-longest-common-prefix,"Array, Hash Table, String, Trie","[{""provider"":""leetcode"",""url"":""https://leetcode.com/problems/find-the-length-of-the-longest-common-prefix""}]"
MEDIUM,Search in Rotated Sorted Array II,33.5,0.004017230605164613,https://leetcode.com/problems/search-in-rotated-sorted-array-ii,"Array, Binary Search","[{""provider"":""leetcode"",""url"":""https://leetcode.com/problems/search-in-rotated-sorted-array-ii""}]"
MEDIUM,Integer to Roman,31.3,0.007117953992309961,https://leetcode.com/problems/integer-to-roman,"Hash Table, Math, String","[{""provider"":""leetcode"",""url"":""https://leetcode.com/problems/integer-to-roman""}]"
MEDIUM,Target Sum,31.3,0.005240822589022562,https://leetcode.com/problems/target-sum,"Array, Dynamic Programming, Backtracking","[{""provider"":""leetcode"",""url"":""https://leetcode.com/problems/target-sum""}]"
HARD,Sudoku Solver,31.3,0.006558548883053551,https://leetcode.com/problems/sudoku-solver,"Array, Hash Table, Backtracking, Matrix","[{""provider"":""leetcode"",""url"":""https://leetcode.com/problems/sudoku-solver""}]"
HARD,Wildcard Matching,31.3,0.0032205486147643954,https://leetcode.com/problems/wildcard-matching,"String, Dynamic Programming, Greedy, Recursion","[{""provider"":""leetcode"",""url"":""https://leetcode.com/problems/wildcard-matching""}]"
HARD,Permutation Sequence,31.3,0.005343710738736343,https://leetcode.com/problems/permutation-sequence,"Math, Recursion","[{""provider"":""leetcode"",""url"":""https://leetcode.com/problems/permutation-sequence""}]"
MEDIUM,Reorder List,31.3,0.006553491500364559,https://leetcode.com/problems/reorder-list,"Linked List, Two Pointers, Stack, Recursion","[{""provider"":""leetcode"",""url"":""https://leetcode.com/problems/reorder-list""}]"
